"sz002748"    "世龙实业"
"sz301236"    "软通动力"
"sz002708"    "光洋股份"
"sz002965"    "祥鑫科技"
"sz002592"    "ST八菱"
"sz300452"    "山河药辅"
"sz000586"    "汇源通信"
"sz002028"    "思源电气"
"sz300394"    "天孚通信"
"sz002373"    "千方科技"
"sz300575"    "中旗股份"
"sz000799"    "酒鬼酒"
"sz300293"    "蓝英装备"
"sz002725"    "跃岭股份"
"sz000893"    "亚钾国际"
"sz300602"    "飞荣达"
"sz002232"    "启明信息"
"sz300684"    "中石科技"
"sz300344"    "立方数科"
"sz002492"    "恒基达鑫"
"sz300245"    "天玑科技"
"sz300234"    "开尔新材"
"sz300347"    "泰格医药"
"sz000607"    "华媒控股"
"sz003000"    "劲仔食品"
"sz300240"    "飞力达"
"sz300859"    "西域旅游"
"sz003027"    "同兴环保"
"sz002655"    "共达电声"
"sz002871"    "伟隆股份"
"sz300173"    "福能东方"
"sz002906"    "华阳集团"
"sz002529"    "海源复材"
"sz000570"    "苏常柴Ａ"
"sz002099"    "海翔药业"
"sz002014"    "永新股份"
"sz300444"    "双杰电气"
"sz002504"    "ST弘高"
"sz300803"    "指南针"
"sz300429"    "强力新材"
"sz002875"    "安奈儿"
"sz002806"    "华锋股份"
"sz002812"    "恩捷股份"
"sz300707"    "威唐工业"
"sz002877"    "智能自控"
"sz002294"    "信立泰"
"sz300406"    "九强生物"
"sz000623"    "吉林敖东"
"sz301046"    "能辉科技"
"sz002541"    "鸿路钢构"
"sz002836"    "新宏泽"
"sz300967"    "晓鸣股份"
"sz300638"    "广和通"
"sz000528"    "柳 工"
"sz002887"    "绿茵生态"
"sz002420"    "毅昌科技"
"sz300255"    "常山药业"
"sz300139"    "晓程科技"
"sz300793"    "佳禾智能"
"sz002905"    "金逸影视"
"sz001231"    "农心科技"
"sz002918"    "蒙娜丽莎"
"sz002391"    "长青股份"
"sz000698"    "沈阳化工"
"sz300709"    "精研科技"
"sz300076"    "GQY视讯"
"sz002023"    "海特高新"
"sz301048"    "金鹰重工"
"sz300999"    "金龙鱼"
"sz300588"    "熙菱信息"
"sz000616"    "ST海投"
"sz300650"    "太龙股份"
"sz300570"    "太辰光"
"sz002724"    "海洋王"
"sz300513"    "恒实科技"
"sz300140"    "中环装备"
"sz000777"    "中核科技"
"sz300107"    "建新股份"
"sz000685"    "中山公用"
"sz002053"    "云南能投"
"sz002114"    "罗平锌电"
"sz300766"    "每日互动"
"sz002660"    "茂硕电源"
"sz002102"    "ST冠福"
"sz300705"    "九典制药"
"sz300589"    "江龙船艇"
"sz002243"    "力合科创"
"sz002106"    "莱宝高科"
"sz300716"    "国立科技"
"sz300033"    "同花顺"
"sz300832"    "新产业"
"sz002631"    "德尔未来"
"sz002451"    "摩恩电气"
"sz300755"    "华致酒行"
"sz300210"    "森远股份"
"sz000935"    "四川双马"
"sz000952"    "广济药业"
"sz000803"    "山高环能"
"sz300809"    "华辰装备"
"sz300204"    "舒泰神"
"sz300223"    "北京君正"
"sz002029"    "七 匹 狼"
"sz002224"    "三 力 士"
"sz000088"    "盐 田 港"
"sz300792"    "壹网壹创"
"sz002878"    "元隆雅图"
"sz002574"    "明牌珠宝"
"sz300085"    "银之杰"
"sz002192"    "融捷股份"
"sz300519"    "新光药业"
"sz000037"    "深南电A"
"sz002228"    "合兴包装"
"sz002322"    "理工能科"
"sz000050"    "深天马Ａ"
"sz002815"    "崇达技术"
"sz000818"    "航锦科技"
"sz300761"    "立华股份"
"sz000860"    "顺鑫农业"
"sz002698"    "博实股份"
"sz000523"    "广州浪奇"
"sz300114"    "中航电测"
"sz002253"    "川大智胜"
"sz300221"    "银禧科技"
"sz300011"    "鼎汉技术"
"sz002214"    "大立科技"
"sz002832"    "比音勒芬"
"sz300448"    "浩云科技"
"sz002935"    "天奥电子"
"sz002184"    "海得控制"
"sz002850"    "科达利"
"sz000666"    "经纬纺机"
"sz300891"    "惠云钛业"
"sz301030"    "仕净科技"
"sz300004"    "南风股份"
"sz002365"    "永安药业"
"sz300666"    "江丰电子"
"sz300304"    "云意电气"
"sz300785"    "值得买"
"sz300664"    "鹏鹞环保"
"sz000635"    "英 力 特"
"sz002742"    "ST三圣"
"sz002105"    "信隆健康"
"sz000688"    "国城矿业"
"sz300610"    "晨化股份"
"sz000019"    "深粮控股"
"sz300331"    "苏大维格"
"sz300138"    "晨光生物"
"sz002336"    "人人乐"
"sz300099"    "精准信息"
"sz002791"    "坚朗五金"
"sz301238"    "瑞泰新材"
"sz300295"    "三六五网"
"sz300005"    "探路者"
"sz300471"    "厚普股份"
"sz000798"    "中水渔业"
"sz300097"    "智云股份"
"sz300563"    "神宇股份"
"sz300480"    "光力科技"
"sz300621"    "维业股份"
"sz000550"    "江铃汽车"
"sz002585"    "双星新材"
"sz300688"    "创业黑马"
"sz002430"    "杭氧股份"
"sz002254"    "泰和新材"
"sz002144"    "宏达高科"
"sz002826"    "易明医药"
"sz300752"    "隆利科技"
"sz300289"    "利德曼"
"sz300424"    "航新科技"
"sz300515"    "三德科技"
"sz002609"    "捷顺科技"
"sz300447"    "全信股份"
"sz002190"    "成飞集成"
"sz300542"    "新晨科技"
"sz002950"    "奥美医疗"
"sz300345"    "华民股份"
"sz002281"    "光迅科技"
"sz300298"    "三诺生物"
"sz002417"    "*ST深南"
"sz002006"    "精功科技"
"sz000919"    "金陵药业"
"sz002409"    "雅克科技"
"sz300718"    "长盛轴承"
"sz002972"    "科安达"
"sz300797"    "钢研纳克"
"sz002776"    "ST柏龙"
"sz300548"    "博创科技"
"sz300169"    "天晟新材"
"sz002022"    "*ST 科华"
"sz002700"    "ST浩源"
"sz002995"    "天地在线"
"sz300700"    "岱勒新材"
"sz300046"    "台基股份"
"sz002925"    "盈趣科技"
"sz300581"    "晨曦航空"
"sz300404"    "博济医药"
"sz002357"    "富临运业"
"sz300696"    "爱乐达"
"sz002213"    "大为股份"
"sz300416"    "苏试试验"
"sz001914"    "招商积余"
"sz300687"    "赛意信息"
"sz002581"    "未名医药"
"sz002356"    "赫美集团"
"sz002366"    "*ST海核"
"sz300454"    "深信服"
"sz002895"    "川恒股份"
"sz002829"    "星网宇达"
"sz300387"    "富邦股份"
"sz002694"    "顾地科技"
"sz301111"    "粤万年青"
"sz002069"    "ST獐子岛"
"sz300333"    "兆日科技"
"sz002992"    "宝明科技"
"sz002774"    "快意电梯"
"sz300449"    "汉邦高科"
"sz002199"    "东晶电子"
"sz300526"    "*ST中潜"
"sz300675"    "建科院"
"sz003001"    "中岩大地"
"sz000962"    "东方钽业"
"sz301212"    "联盛化学"
"sz301330"    "熵基科技"
"sz002790"    "瑞尔特"
"sz300630"    "普利制药"
"sz300660"    "江苏雷利"
"sz300616"    "尚品宅配"
"sz000920"    "沃顿科技"
"sz300056"    "中创环保"
"sz300226"    "上海钢联"
"sz002275"    "桂林三金"
"sz300305"    "裕兴股份"
"sz301380"    "C挖金客"
"sz000733"    "振华科技"
"sz300486"    "东杰智能"
"sz000058"    "深 赛 格"
"sz002996"    "顺博合金"
"sz300019"    "硅宝科技"
"sz300692"    "中环环保"
"sz300741"    "华宝股份"
"sz002440"    "闰土股份"
"sz003002"    "壶化股份"
"sz300437"    "清水源"
"sz000669"    "ST金鸿"
"sz301217"    "铜冠铜箔"
"sz002242"    "九阳股份"
"sz002040"    "南 京 港"
"sz002520"    "日发精机"
"sz002683"    "广东宏大"
"sz300483"    "首华燃气"
"sz001316"    "润贝航科"
"sz002394"    "联发股份"
"sz300174"    "元力股份"
"sz000701"    "厦门信达"
"sz300235"    "方直科技"
"sz300941"    "创识科技"
"sz002041"    "登海种业"
"sz002311"    "海大集团"
"sz300283"    "温州宏丰"
"sz002687"    "乔治白"
"sz001222"    "源飞宠物"
"sz000038"    "*ST大通"
"sz300193"    "佳士科技"
"sz300368"    "汇金股份"
"sz002401"    "中远海科"
"sz002462"    "嘉事堂"
"sz300466"    "赛摩智能"
"sz301090"    "华润材料"
"sz300819"    "聚杰微纤"
"sz300613"    "富瀚微"
"sz300712"    "永福股份"
"sz000551"    "创元科技"
"sz300864"    "南大环境"
"sz002959"    "小熊电器"
"sz300187"    "永清环保"
"sz000881"    "中广核技"
"sz002740"    "ST爱迪尔"
"sz300215"    "电科院"
"sz000661"    "长春高新"
"sz002171"    "楚江新材"
"sz300441"    "鲍斯股份"
"sz301016"    "雷尔伟"
"sz300742"    "越博动力"
"sz300306"    "远方信息"
"sz300763"    "锦浪科技"
"sz300265"    "通光线缆"
"sz002755"    "奥赛康"
"sz300831"    "派瑞股份"
"sz002820"    "桂发祥"
"sz300618"    "寒锐钴业"
"sz300435"    "中泰股份"
"sz300384"    "三联虹普"
"sz301092"    "争光股份"
"sz300671"    "富满微"
"sz300702"    "天宇股份"
"sz301155"    "海力风电"
"sz300756"    "金马游乐"
"sz300900"    "广联航空"
"sz000567"    "海德股份"
"sz300288"    "朗玛信息"
"sz002953"    "日丰股份"
"sz000911"    "南宁糖业"
"sz002595"    "豪迈科技"
"sz300903"    "科翔股份"
"sz300100"    "双林股份"
"sz002367"    "康力电梯"
"sz002646"    "天佑德酒"
"sz000668"    "荣丰控股"
"sz300699"    "光威复材"
"sz300933"    "中辰股份"
"sz300561"    "汇金科技"
"sz300887"    "谱尼测试"
"sz002590"    "万安科技"
"sz000005"    "ST星源"
"sz000532"    "华金资本"
"sz300455"    "康拓红外"
"sz300765"    "新诺威"
"sz300493"    "润欣科技"
"sz002897"    "意华股份"
"sz300679"    "电连技术"
"sz002025"    "航天电器"
"sz002932"    "明德生物"
"sz002295"    "精艺股份"
"sz002915"    "中欣氟材"
"sz000971"    "ST高升"
"sz301120"    "新特电气"
"sz300329"    "海伦钢琴"
"sz300839"    "博汇股份"
"sz002423"    "中粮资本"
