"sh688628"    "优利德"
"sh688280"    "精进电动"
"sh600848"    "上海临港"
"sh603968"    "醋化股份"
"sh603007"    "ST花王"
"sh603530"    "神马电力"
"sh601963"    "重庆银行"
"sh688107"    "安路科技"
"sh600738"    "丽尚国潮"
"sh688579"    "山大地纬"
"sh603486"    "科沃斯"
"sh688166"    "博瑞医药"
"sh603163"    "圣晖集成"
"sh601968"    "宝钢包装"
"sh688295"    "中复神鹰"
"sh600681"    "百川能源"
"sh605388"    "均瑶健康"
"sh600611"    "大众交通"
"sh688505"    "复旦张江"
"sh688088"    "虹软科技"
"sh603093"    "南华期货"
"sh600193"    "创兴资源"
"sh600753"    "东方银星"
"sh603367"    "辰欣药业"
"sh603666"    "亿嘉和"
"sh603718"    "海利生物"
"sh603966"    "法兰泰克"
"sh688418"    "震有科技"
"sh688110"    "东芯股份"
"sh600302"    "标准股份"
"sh688006"    "杭可科技"
"sh603888"    "新华网"
"sh688132"    "邦彦技术"
"sh603516"    "淳中科技"
"sh600191"    "华资实业"
"sh600829"    "人民同泰"
"sh600833"    "第一医药"
"sh603939"    "益丰药房"
"sh603214"    "爱婴室"
"sh600639"    "浦东金桥"
"sh600493"    "凤竹纺织"
"sh603817"    "海峡环保"
"sh603529"    "爱玛科技"
"sh605050"    "福然德"
"sh600228"    "返利科技"
"sh603321"    "梅轮电梯"
"sh603357"    "设计总院"
"sh600178"    "东安动力"
"sh688687"    "凯因科技"
"sh603669"    "灵康药业"
"sh603586"    "金麒麟"
"sh603900"    "莱绅通灵"
"sh603181"    "皇马科技"
"sh601177"    "杭齿前进"
"sh603167"    "渤海轮渡"
"sh605007"    "五洲特纸"
"sh603917"    "合力科技"
"sh603661"    "恒林股份"
"sh688007"    "光峰科技"
"sh600589"    "ST榕泰"
"sh603686"    "福龙马"
"sh600476"    "湘邮科技"
"sh688256"    "寒武纪"
"sh603883"    "老百姓"
"sh603602"    "纵横通信"
"sh600843"    "上工申贝"
"sh600315"    "上海家化"
"sh600543"    "莫高股份"
"sh688385"    "复旦微电"
"sh603360"    "百傲化学"
"sh603823"    "百合花"
"sh688371"    "菲沃泰"
"sh603266"    "天龙股份"
"sh603053"    "成都燃气"
"sh603345"    "安井食品"
"sh688055"    "龙腾光电"
"sh603856"    "东宏股份"
"sh688550"    "瑞联新材"
"sh603389"    "亚振家居"
"sh688588"    "凌志软件"
"sh603897"    "长城科技"
"sh603116"    "红蜻蜓"
"sh603303"    "得邦照明"
"sh603017"    "中衡设计"
"sh605133"    "嵘泰股份"
"sh603136"    "天目湖"
"sh601279"    "英利汽车"
"sh688819"    "天能股份"
"sh603896"    "寿仙谷"
"sh603708"    "家家悦"
"sh688320"    "禾川科技"
"sh601116"    "三江购物"
"sh603001"    "奥康国际"
"sh688047"    "龙芯中科"
"sh603869"    "新智认知"
"sh603313"    "梦百合"
"sh688247"    "宣泰医药"
"sh603929"    "亚翔集成"
"sh600898"    "国美通讯"
"sh688131"    "皓元医药"
"sh688778"    "厦钨新能"
"sh600661"    "昂立教育"
"sh600838"    "上海九百"
"sh603893"    "瑞芯微"
"sh603681"    "永冠新材"
